qid,question,answer,generated_answer,factuality,faithfulness,collapsed,,備考
QA20CAPR-0477,現在、天気予報などで気圧を表す単位として使用されているのは何でしょう?,ヘクトパスカル,"ヘクトパスカル(hPa)です。
",,,,,
QA20CAPR-0479,国旗の中央には「サラディンの鷲」と呼ばれる紋章が描かれている、首都をカイロに置くアフリカの国はどこでしょう?,エジプト,"スーダン共和国です。
",,,,,
QA20CAPR-0481,世界的に有名な時計メーカーで、「オメガ」「ロレックス」といえば、どこの国のメーカーでしょう?,スイス,"スイスです。
",,,,,
QA20CAPR-0483,90年代前半に、マイケル・ジョーダンやスコッティ・ピッペンらの活躍によりNBAファイナル3連覇という偉業を達成した、シカゴに本拠地を置くNBAのチームは何でしょう?,シカゴ・ブルズ,"ピストンズです。
",,,,,
QA20CAPR-0485,大相撲の本場所は毎回15日制で行われていますが、13日目は決まって何曜日になるでしょう?,金曜日,"月曜日です。
",,,,,
QA20CAPR-0487,日本標準時子午線上にある3つの都道府県とは、京都府、兵庫県とどこでしょう?,和歌山県,"香川県です。
",,,,,
QA20CAPR-0489,質量の12倍もの水分を吸収してゼリー状になる種子を持ち、美容や健康への効果が注目されている、中南米原産のシソ科の植物は何でしょう?,チア (植物),コリアンダーシード,,,,,
QA20CAPR-0491,もとは歌舞伎や寄席のいちばん最後の出し物のことで、現在ではテレビ番組『笑点』の名物コーナーとしてもおなじみなのは何でしょう?,大喜利,"大喜利です。
",,,,,
QA20CAPR-0493,ズバリ、駅にある「ホーム」を略さずにいうと何でしょう?,プラットホーム,"プラットフォームです。
",,,,,
QA20CAPR-0495,その職は北条氏が独占した、鎌倉幕府において将軍を補佐する役職を何というでしょう?,執権,"執権職(しっけんしょく)とは、日本の政治制度における将軍の職務を代行する役職です。
執権職は、北条時政によって任命され、その後、北条義時によって引き継がれました。
",,,,,
QA20CAPR-0497,リーフデ号に乗って日本に漂着し、徳川家康に外交顧問として仕えたイギリスの航海士は誰でしょう?,ウィリアム・アダムス,"ジョン・アダムズ リーフデ号は、イギリスから日本への初めての航海でした。
ジョン・アダムズは、リーフデ号の船長であり、家康に外交顧問として仕えました。
",,,,,
QA20CAPR-0499,全メソポタミアの統一に成功したバビロン第一王朝の王で、「目には目を、歯には歯を」で有名な法典を発布したことで知られるのは誰でしょう?,ハンムラビ,ハンムラビ法典,,,,,
QA20CAPR-0501,フランス語で「千枚の葉」という意味がある、薄いパイとカスタードクリームを何枚も重ねたフランスのお菓子は何でしょう?,ミルフィーユ,フォレ・ノワール,,,,,
QA20CAPR-0503,「東証株価指数」などというときの「東証」とは何ということばの略でしょう?,東京証券取引所,"証券取引所の略語です。
",,,,,
QA20CAPR-0505,ギリシャ文字で、アルファ、ベータに次ぐ3番目の文字は何でしょう?,Γ,"デルタです。
",,,,,
QA20CAPR-0507,栃木県日光市にある、世界各国の遺跡や建築物を再現したミニチュアパークは何でしょう?,東武ワールドスクウェア,"東武ワールドスクウェアです。
",,,,,
QA20CAPR-0509,アルファベット2文字でSWと略される、ゴルフにおいて主にバンカーから打球する際に使うクラブは何でしょう?,サンドウェッジ,"ウェッジです。
",,,,,
QA20CAPR-0511,アンティークとして人気が高い、ポケットやカバンに入れて持ち歩く時計を何というでしょう?,懐中時計,懐中時計(ポケットウォッチ),,,,,
QA20CAPR-0513,金魚すくいと同じように縁日の屋台で水に浮かべたものがよくすくわれている、地面に投げて大きく弾ませて遊ぶゴムボールの一種は何でしょう?,スーパーボール,ピンポン球,0,,,,
QA20CAPR-0515,果物の名前にもなっている、ニュージーランドの国の鳥は何でしょう?,キーウィ (鳥),キーウィ,,,,,
QA20CAPR-0517,ヤクザやピカイチといった言葉の語源となったカードゲームは何でしょう?,花札,"トランプゲームの一種、ブリッジです。
ブリッジとは、2つのチームに分かれ、相手よりも多くの得点を獲得するために、手札からカードをプレイするゲームです。
ブリッジは、ヤクザやピカイチなどの言葉の由来となりました。
",,,,,
QA20CAPR-0519,考案したノルウェーのスケート選手の名がつけられた、フィギュアスケートの6種類のジャンプのうち、他のジャンプよりも半回転多く回るものを何というでしょう?,アクセルジャンプ,アクセル・トリプル・トウループ,,,,,
QA20CAPR-0521,園内にある間欠泉・オールドフェイスフルが見ものとなっている、モンタナ州、アイダホ州、ワイオミング州にまたがる世界初の国立公園は何でしょう?,イエローストーン国立公園,"イエローストーンです。
",,,,,
QA20CAPR-0523,四書の一つに数えられる中国の書物と、日本の最高学府とされる教育機関に共通する漢字二文字の言葉は何でしょう?,大学,"大学(だいがく)です。
",,,,,
QA20CAPR-0525,ゴルフにおいて競技者にアドバイスできる唯一の存在である、ゴルファーに代わってクラブを持ち運ぶ役割などを担う人物を何というでしょう?,キャディ (ゴルフ),"キャディマスター」とは、ゴルフの競技において、競技者の代わりにクラブを持ち運ぶ役割を果たします。
ゴルフは、18ホールのストロークプレーと、3つのホールでのマッチプレーで行われます。
キャディマスターは、ゴルフの競技において重要な役割を果たしています。
",,,,,
QA20CAPR-0527,高速道路にあるもので、「SA」といえばサービスエリアのことですが、「IC」といえば何のことでしょう?,インターチェンジ,"インターチェンジのことです。
",,,,,
QA20CAPR-0529,代表作に『櫻の樹の下には』や『檸檬』がある、日本の小説家は誰でしょう?,梶井基次郎,谷崎潤一郎,,,,,
QA20CAPR-0531,事前に整理券を受け取ることで並ばずに参加できる、東京ディズニーリゾートで一部のアトラクションに導入されているシステムは何でしょう?,ディズニー・ファストパス,"ファストパス・チケットです。
",,,,,
QA20CAPR-0533,薄く切ったカブを昆布や唐辛子とともに酢に漬けて作る、京都名物の漬物は何でしょう?,千枚漬け,"千枚漬けです。
",,,,,
QA20CAPR-0535,地方の新聞で、「上毛新聞」といえば、どこの都道府県の新聞でしょう?,群馬県,群馬県,,,,,
QA20CAPR-0537,太陽光の下では暗い緑色、人工のあかりの下では暗い赤色となる、ロシアの皇帝にちなんで名づけられた6月の誕生石は何でしょう?,アレキサンドライト,トルマリン,0,,,,
QA20CAPR-0539,地位や身分の上下を気にせずに楽しむ宴会のことを、漢字三文字で何というでしょう?,無礼講,"楽遊会(らくゆうかい)といいます。
",,,,,
QA20CAPR-0541,正式な名前は「旧札幌農学校演武場」という、 国の重要文化財にもなっている、札幌市を代表する建造物は何でしょう?,札幌市時計台,"時計台 札幌農学校演武場は、北海道札幌市にある国の重要文化財に指定された建造物です。
この建物は、札幌農学校の開校100周年を記念し、北海道大学によって1934年に建てられたものです。
",,,,,
QA20CAPR-0543,オランダ語で「日曜日」と言う意味の言葉がその名の由来であるとされる、福岡市で毎年5月3日・4日に行われる祭りは何でしょう?,博多どんたく,"放生会(ほうじょうえ)です。
",,,,,
QA20CAPR-0545,プロレスやボクシングで、ラウンドのはじめと終わりを知られるのに鳴らされる、金属製の打楽器を何というでしょう?,ゴング,ゴング(鐘),,,,,
QA20CAPR-0547,アメリカ・マサチューセッツ州の州都で、古い歴史を持つマラソン大会や、メジャーリーグのレッドソックスのホームタウンとして知られるのはどこでしょう?,ボストン,"ボストンです。
",,,,,
QA20CAPR-0549,弥生時代に湿気やネズミの害を防ぐために作られた、床の部分を柱で持ち上げた倉庫を何というでしょう?,高床式倉庫,米蔵(米穀倉庫),,,,,
QA20CAPR-0551,パチンコ用語の「平打ち」「連チャン」「リーチ」といえば、元々どんなゲームの用語だった言葉でしょう?,麻雀,"花札です。
",,,,,
QA20CAPR-0553,フランスの国の鳥に指定されている鳥で、その鳴き声がフランス語では「ココリコ」、英語では「クックドゥードゥルドゥー」と表されるのは何でしょう?,ニワトリ,"オウム科の一種のコガモです。
",,,,,
QA20CAPR-0555,743年に制定され、公地公民制度が完全に崩壊する原因となった法令は何でしょう?,墾田永年私財法,"大土地所有の禁止令(大土地所有の禁止)です。
",,,,,
QA20CAPR-0557,英語では考案者の名前から「フォスベリー・フロップ」とも呼ばれる、走り高跳びにおいて現在主流となっている跳び方は何でしょう?,背面跳び,バーピージャンプ,,,,,
QA20CAPR-0559,パソコン用会計ソフトの名前にもなっている、江戸時代に幕府の財政事務を統括した、三奉行のひとつに数えられる役職は何でしょう?,勘定奉行,勘定奉行,,,,,
QA20CAPR-0561,眠りネズミ、三月ウサギ、チェシャ猫などのキャラクターが登場する、ルイス・キャロルの児童文学は何でしょう?,不思議の国のアリス,"不思議の国のアリスです。
",,,,,
QA20CAPR-0563,フランス語で「かわいいもの」「大切なもの」という意味がある、髪留めやブレスレットとして使われる筒状の布にゴムを通した装飾品は何でしょう?,シュシュ,シュシュ,,,,,
QA20CAPR-0565,トランプのクラブのキングのモデルとも言われる、マケドニアの王として東方遠征を行ったことで知られる人物は誰でしょう?,アレクサンドロス3世,アレクサンダー大王,,,,,
QA20CAPR-0567,ノーベル賞の6部門のうち、日本人初の賞受賞者である湯川秀樹が受賞したのは何でしょう?,ノーベル物理学賞,"理論物理学の受賞者は多数います。
その中でも、受賞者が多い分野には、量子力学、統計学、一般相対性理論があります。
理論物理学とは、科学的な研究や実験によって、物質や宇宙の振る舞いを説明するための研究です。
ノーベル物理学賞は、その研究成果に対して授与されます。
したがって、正解は理論物理学です。
",,,,,
QA20CAPR-0569,貴金属の純度を調べる試験や、日本で使われる硬貨の鋳造などを行っている独立行政法人は何でしょう?,造幣局,"造幣局です。
",,,,,
QA20CAPR-0571,日本で生まれた漢字を「国字」といいますが、日本で生まれた英語のような言葉を何というでしょう?,和製英語,"和製漢語(Japanese-language)とは、日本で作られた中国語の語彙です。
日本語は、中国から借用された漢字と日本の文化や伝統から生まれた語彙の両方を含んでいます。
和製漢語とは、日本語の語彙の1つであり、中国語からの借用語です。
",,,,,
QA20CAPR-0573,100曲以上の交響曲を作曲し、「交響曲の父」と称されたオーストリアの作曲家は誰でしょう?,フランツ・ヨーゼフ・ハイドン,フランツ・シューベルト,,,,,
QA20CAPR-0575,日本では谷川俊太郎の和訳で広く知られている、海の住む小魚たちを主人公とした絵本作家、レオ・レオニの代表作は何でしょう?,スイミー,スイミー,,,,,
QA20CAPR-0577,和名を「タテガミイヌ」という哺乳類の生き物で、ライオンなどが食べ残した死肉を漁る習性で知られるのは何でしょう?,ハイエナ,"コヨーテです。
",,,,,
QA20CAPR-0579,音楽の楽譜に書かれる「曲の最初に戻る」という意味の用語で、略して「D.C.」と表記されるのは何でしょう?,ダ・カーポ (演奏記号),エンド・ロール,,,,,
QA20CAPR-0581,1977年の第3回ワールドカップで初登場した、フジテレビ系のバレーボール中継に登場するマスコットキャラクターは何でしょう?,バボちゃん,"風船おじさん」です。
",,,,,
QA20CAPR-0583,握りつぶせるほど柔らかいボールを使うことから、英語の「握りつぶす」が語源と なっている、四方を壁に囲まれたコートでボールを打ち合う競技は何でしょう?,スカッシュ (スポーツ),テニス,,,,,
QA20CAPR-0585,大相撲において、その場所における対戦成績を記載した一覧表のことを何というでしょう?,星取表,"番付表(ばんづけひょう)といいます。
",,,,,
QA20CAPR-0587,漢字では「海のこけ」と書く、巻き寿司やおにぎりなどに使用される食材は何でしょう?,海苔,"海苔です。
",,,,,
QA20CAPR-0589,妊娠36週から39週までを指す、出産が予定される月のことを何というでしょう?,臨月,"正産期」と言います。
",,,,,
QA20CAPR-0591,経済を発展させて軍事力を増強するという意味の、明治新政府のスローガンとして使われた漢字4文字の言葉は何でしょう?,富国強兵,"富国強兵主義 国家総力戦主義 殖産興業主義 富国強兵主義とは、国家が経済を強化し、軍事力を増強することによって、国の富と強さを増すことを目指す政策です。
殖産興業主義とは、産業の発展を促進することによって、国の富と強さを増すことを目的とする政策です。
国家総力戦主義とは、国家が全力を挙げて戦い、国を守ることによって、国の富と強さを増そうとする政策です。
",,,,,
QA20CAPR-0593,アラビア語で「正しく声を出して読むもの」という意味がある、イスラム教の聖典は何でしょう?,クルアーン,"コーランです。
",,,,,
QA20CAPR-0595,カツ丼やすきやきなどを作る時に使われる、だし汁を酒、醤油、砂糖などで味付けした合わせ調味料のことを何というでしょう?,割下,"割下(わりした)といいます。
",,,,,
QA20CAPR-0597,昔話の『さるかに合戦』で、サルがカニの持っていたおにぎりと交換したものは何だったでしょう?,柿の種,"黄金の玉手箱。
",,,,,
QA20CAPR-0599,最期は衣川の戦いで敗れ自害した、幼名を「牛若丸」といった12世紀に活躍した武将は誰でしょう?,源義経,源義経,,,,,
QA20CAPR-0601,1991年に港区芝浦にオープンした、かつての「お立ち台」ブームの中心となったディスコの名前は何でしょう?,ジュリアナ東京,"ジュリアナ東京です。
",,,,,
QA20CAPR-0603,2007年までは助教授と呼ばれていた、大学で教授に次ぐ地位に当たる役職を何というでしょう?,准教授,"助教(Assistant)。
",,,,,
QA20CAPR-0605,アイドルグループ・欅坂46のデビュー曲のタイトルにもなっている、「物言わぬ多数派」という意味がある英語は何でしょう?,サイレントマジョリティー,"サイレントマジョリティ(Silent Majority)です。
",,,,,
QA20CAPR-0607,日本プロ野球では毎年7月に行われる、各球団の人気選手を集めて行う特別試合を何というでしょう?,オールスターゲーム,"オールスターゲーム」です。
",,,,,
QA20CAPR-0609,女声の音域で、ソプラノとアルトの中間にあたるものを何というでしょう?,メゾソプラノ,メゾソプラノ,,,,,
QA20CAPR-0611,『ダイヤルMを廻せ!』『知りすぎていた男』『北北西に進路をとれ』などの数々の映画で知られるアメリカの映画監督は誰でしょう?,アルフレッド・ヒッチコック,アルフレッド・ヒッチコック,,,,,
QA20CAPR-0613,ロウソクの芯に用いられたことから「トウシンソウ」の別名もある、畳の原料となることで有名な植物は何でしょう?,イグサ,イグサ,,,,,
QA20CAPR-0615,トワイニング、ベノア、リプトンといえば、どんな飲み物のブランドでしょう?,紅茶,"紅茶飲料メーカーです。
",,,,,
QA20CAPR-0617,「パブロフの犬」の実験によって知られるようになった、動物が経験によって後天的に獲得する反射行動のことを何というでしょう?,条件反射,"条件付け学習(conditional recognition)。
",,,,,
QA20CAPR-0619,1517年に、ローマ教皇による免罪符の販売を批判した「九十五箇条の論題」を発表し、宗教改革運動のきっかけをつくったドイツの宗教家は誰でしょう?,マルティン・ルター,マルティン・ルター,,,,,
QA20CAPR-0621,部位によってクッピン、アウカトラ、ピッカーニャなどの種類がある、串に刺した肉をテーブルで切り分けて食べるブラジル料理は何でしょう?,シュハスコ,"シュラスコ」です。
",,,,,
QA20CAPR-0623,英語ではスピーチ・バルーンと呼ばれる、マンガのセリフの部分を何というでしょう?,ふきだし,"スキットル・バルーン(Skid Balloon)とは、マンガのキャラクターが描かれた小さな風船で、しばしば手作りされます。
この種のバルーンは、パーティーやイベントなどの楽しい場面で使用されます。
スキットル・バルーンは、マンガのキャラクターをフィーチャーした様々なデザインがあり、人気のあるアートクラフトです。
",,,,,
QA20CAPR-0625,男性が履くズボンの前部にあるファスナーのことを、俗に「何の窓」というでしょう?,社会の窓,"ボタンフライ 最終的な答えは、ボタンフライです。
",,,,,
QA20CAPR-0627,現代の恐竜とも呼ばれている、インドネシアのある島の名前が付いた世界最大のトカゲは何でしょう?,コモドオオトカゲ,マンドリル,,,,,
QA20CAPR-0629,主な著作に『帝室論』『西洋事情』『学問のすゝめ』などがある明治時代の教育者は誰でしょう?,福澤諭吉,杉浦重剛,,,,,
QA20CAPR-0631,フランスでは「コンフィチュール」と呼ばれる、ロシアンティーの中に溶かしたり、パンに塗ったりする甘い食べ物は何でしょう?,ジャム,"ジャムです。
",,,,,
QA20CAPR-0633,主演したオダギリジョーの出世作となった、2000年に放送を開始した「平成仮面ライダー」シリーズの第1作である特撮ドラマは何でしょう?,仮面ライダークウガ,"龍騎 2000年4月26日に放送開始された、平成仮面ライダーシリーズの最初の作品である。
主演はオダギリジョーが務め、後にシリーズの中心的な存在となる神崎優衣を演じた。
",,,,,
QA20CAPR-0635,「切手」「郵便」という言葉を作った、明治期の官僚は誰でしょう?,前島密,"岩垣鉄造(いわがきてつぞう)。
",,,,,
QA20CAPR-0637,「屋根で覆われたトカゲ」という意味の名前をもつ、背中に互い違いについた板のような骨が特徴の恐竜は何でしょう?,ステゴサウルス,"プレオドン・イグアノドン・モノアラモサウルスです。
",,,,,
QA20CAPR-0639,1952年に即位した、イギリスの女王は誰でしょう?,エリザベス2世,"エリザベス2世女王です。
",,,,,
QA20CAPR-0641,フランスの科学者アンドレ=マリ・アンペールに由来する、電流の大きさを表す単位は何でしょう?,アンペア,"ボルトメートルです。
",,,,,
QA20CAPR-0643,大正時代に起こった護憲・普通選挙運動のことを、「民主政治」という意味の英語を用いて何というでしょう?,大正デモクラシー,"民権運動(Righteous Party)または民権主義(Righteous Party)といいます。
",,,,,
QA20CAPR-0645,ズバリ、一日の平均乗降客数が世界一多い駅はどこでしょう?,新宿駅,"東京駅です。
",,,,,
QA20CAPR-0647,大統領や首相の夫人のことを英語で「何レディ」というでしょう?,ファーストレディ,"マダム・ジャネット・トランプ アメリカ合衆国国務長官、国防長官、司法長官など、様々な政府機関の長を務める夫人のことです。
これらの役職は、夫が大統領や首相である場合にのみ任命されます。
",,,,,
QA20CAPR-0649,接地している時間が長くなり、地面に力を伝えやすくなるのが利点である、現在のスピードスケートの主流となっているかかとが刃から離れる構造のスケート靴を何というでしょう?,スラップスケート,"ヒールバランスシューズ(別名:スケートシューズ)と呼ばれています。
",,,,,
QA20CAPR-0651,実際には病気ではないのに、あたかも病気であるかのように見せかける行為のことを、俗に何というでしょう?,詐病,"詐病(さびょう)とは、自分の状態を隠したり、偽ったりする行為です。
詐病とは、健康な状態にあるにもかかわらず、深刻な精神的障害や身体的な障害があるように装うことを意味します。
詐病は、深刻な心理的問題や社会的な孤立などの要因によって引き起こされることがあります。
",,,,,
QA20CAPR-0653,原材料によって「米」「麦」「豆」などに、色によって「赤」「白」などに分けられる調味料といえば何でしょう?,味噌,"砂糖です。
",,,,,
QA20CAPR-0655,団体スポーツの試合で、出番のない補欠選手が俗に温めているといわれるものは何でしょう?,ベンチ,"スパイクシューズを履くこと。
",,,,,
QA20CAPR-0657,中国の思想家で、「性善説」を唱えたのは孟子ですが、「性悪説」を唱えたのは誰でしょう?,荀子,荀子,,,,,
QA20CAPR-0659,江戸時代前期の武士・森本一房が残した落書きが現在も残っている、カンボジアにある同国を代表する遺跡と言えば何でしょう?,アンコール・ワット,アンコールワット,,,,,
QA20CAPR-0661,2006年の第1回ワールド・ベースボール・クラシックで、日本代表を率いた監督は誰でしょう?,王貞治,"星野仙一監督です。
",,,,,
QA20CAPR-0663,1988年にそれまでの「十段戦」に代わって設立された、将棋界で名人戦と並ぶ権威があるタイトル戦は何でしょう?,竜王戦,"竜王戦 第26期竜王戦。
",,,,,
QA20CAPR-0665,消化器官の一種「中腸腺」がその正体である、カニの甲羅をはがした時に取れる、ペースト状の珍味といえば何でしょう?,カニミソ,"カニ肉の詰め物(カニ肉の詰め物)です。
",,,,,
QA20CAPR-0667,2006年、北海道のノースプレインファームが牛乳の消費拡大のために開発した、普通のものより多くの生クリームを使用した、とろける口どけが人気のキャラメルといえば何でしょう?,生キャラメル,"ロイズコンフェクトのチョコレートバーです。
",,,,,
QA20CAPR-0669,2003年に高等学校の過程に新設された、コンピュータの使い方などを学ぶ教科は何でしょう?,情報 (教科),"情報科です。
",,,,,
QA20CAPR-0671,哺乳類で最も速く泳ぐことができるとされている、漢字では「魚へんに虎」と書く生き物は何でしょう?,シャチ,マンタ,,,,,
QA20CAPR-0673,父を殺して王位を奪った叔父に復讐するデンマークの王子を描いたシェイクスピアの戯曲で、「生きるべきか死ぬべきか」というセリフで有名なのは何でしょう?,ハムレット,テンペスト,,,,,
QA20CAPR-0675,空、福、地獄という言葉のあとに付く体の一部分の名前は何でしょう?,耳,"手首と足首です。
",,,,,
QA20CAPR-0677,1970年に自衛隊の市ヶ谷駐屯地で割腹自殺した、『仮面の告白』『金閣寺』などの作品で知られる作家は誰でしょう?,三島由紀夫,三島由紀夫,,,,,
QA20CAPR-0679,少女ドロレス・ヘイズに惹かれていく中年の男を主人公とする、アメリカの作家ウラジミール・ナボコフの代表作は何でしょう?,ロリータ,"青髭 小説『青髭』は、ロシアの文豪ウラジミール・ナボコフによって書かれました。
この小説は、19世紀後半から20世紀初頭にかけてロシアで起こった社会改革や文化変革について描かれています。
ドロレス・ヘイズは、ロシアの文豪ウラジミール・ナボコフが創作したキャラクターです。
したがって、最終的な答えは『青髭』です。
",,,,,
QA20CAPR-0681,エチレングリコールとテレフタル酸の脱水縮合によって作られる、飲み物の容器などに用いられている合成高分子は何でしょう?,ポリエチレンテレフタラート,"ポリ酢酸ビニル(PVA)です。
",,,,,
QA20CAPR-0683,古代エジプトでは神の使者としてあがめられたサルの一種で、その名は長い体毛が、あるものを羽織っているように見えることからつけられたのは何でょう?,マントヒヒ,"マングース科の一員であるマングースです。
",,,,,
QA20CAPR-0685,伊達家や毛利家などのように、関ヶ原の戦い以後に徳川家に従った大名のことを何というでしょう?,外様大名,"外様大名(とざまだいみょう)といいます。
",,,,,
QA20CAPR-0687,単純な形の「円筒」と、人や馬などをかたどった「形象」の二種類に分けられる、かつて古墳の上やまわりに並べて置かれた土の焼き物を何といったでしょう?,埴輪,"埴輪(はにわ)です。
",,,,,
QA20CAPR-0689,ストリートダンスの世界大会で優勝した経験を持つ、兄にオリエンタルラジオの中田敦彦がいるダンサーは誰でしょう?,FISHBOY,"Keith McGeeです。
",,,,,
QA20CAPR-0691,1954年にノーベル文学賞を受賞している、『武器よさらば』『老人と海』などの作品で知られるアメリカの作家は誰でしょう?,アーネスト・ヘミングウェイ,アーネスト・ヘミングウェイ,,,,,
QA20CAPR-0693,水嶋ヒロ主演で実写映画化もされている、ファントムハイヴ家に使える完璧な執事セバスチャン・ミカエリスを主人公とする枢やなの漫画は何でしょう?,黒執事,"黒執事です。
",,,,,
QA20CAPR-0695,この川を挟んで、ウルグアイの首都モンテビデオとアルゼンチンの首都ブエノスアイレスが対面している、南米の大河は何でしょう?,ラプラタ川,パラグアイ川,,,,,
QA20CAPR-0697,機械の取扱説明書などで見られる、よくある質問とその回答を集めたものを、「頻繁に尋ねられる質問」という意味の英語の略からアルファベット3文字で何というでしょう?,FAQ,"FAQ(よくある質問)とは、機械の取扱説明書などに見られる、よくある質問とその回答を収集した略語です。
FAQとは、頻繁に尋ねられる質問や問題のセットであり、機械のメンテナンスやトラブルシューティングに役立ちます。
FAQは、機械の取扱説明書などで見られることが多く、しばしば「頻繁に尋ねられる質問」という意味の英語の略語であるFAQと呼ばれています。
",,,,,
QA20CAPR-0699,1336年から1392年まで続いた、日本で皇室の系統が2つに分かれていた時代を何時代というでしょう?,南北朝時代 (日本),"南北朝時代(日本)と室町時代(日本)です。
",,,,,
QA20CAPR-0701,経文や戒名などが記されている、追善供養のために墓の脇になどに立てる木製の長い板のことを何というでしょう?,板塔婆,"位牌(いはい)または木位牌(もくいはい)といいます。
",,,,,
QA20CAPR-0703,結婚披露宴などで、列席者にお土産として配られる品物を何というでしょう?,引出物,"花束やカードなど。
",,,,,
QA20CAPR-0705,「モンキー乗り」といえば競馬の用語ですが、「モンキーターン」といえばどんな公営ギャンブルの用語でしょう?,競艇,"競艇。
",,,,,
QA20CAPR-0707,桜の咲く頃には時々寒い日がありますが、このような日を特に「何冷え」というでしょう?,花,"花冷え(はなびえ)とは、桜の咲く時期に気温が下がり、春の季節の寒さのことです。
",,,,,
QA20CAPR-0709,和名を「オランダゼリ」という、料理の飾りに使われるが、よく食べ残されてしまう野菜といえば何でしょう?,パセリ,"人参の葉っぱです。
",,,,,
QA20CAPR-0711,マーケティングアナリスト・原田曜平によって命名された、 地元指向が強く、内向的で上昇志向が低い若者のことを指す言葉は何でしょう?,マイルドヤンキー,"さとり世代 マーケティングアナリスト・原田曜平によって名付けられた、 地元指向が強く、内向的で上昇志向が少ない若者を指す言葉は「さとり世代」です。
",,,,,
QA20CAPR-0713,ラテン語の「初めから」という言葉を語源とする、オーストラリアの先住民族といえば何でしょう?,アボリジニ,"アボリジニ族です。
",,,,,
QA20CAPR-0715,富士山、鷹、なすびなどが出てくると縁起が良いといわれる、新年の夜に見る夢を何というでしょう?,初夢,初夢宝船,,,,,
QA20CAPR-0717,ものをはかる際の基準になる単位のことを、それぞれ「長さ」「体積」「質量」をあらわす漢字三文字の言葉で何というでしょう?,度量衡,メートル法,,,,,
QA20CAPR-0719,2015年にセ・リーグの本塁打王と盗塁王を同時に獲得したプロ野球選手は誰でしょう?,山田哲人,"広島カープの丸佳浩選手です。
",,,,,
QA20CAPR-0721,日本では赤、青、白の三色のものが用いられている、理容室の店先でくるくる回っているものは何でしょう?,サインポール,"散髪用のバリカンです。
",,,,,
QA20CAPR-0723,3、4人で1人を担ぎ、上の人が帽子や鉢巻などを奪いあう、よく運動会で行われる競技は何でしょう?,騎馬戦,"棒倒しです。
",,,,,
QA20CAPR-0725,ファッションショーでモデルが歩く通路のことを、英語で何というでしょう?,ランウェイ,"ランウェイウォークスロープといいます。
",,,,,
QA20CAPR-0727,高砂、ナポレオン、佐藤錦と言えばどんな果物の品種でしょう?,サクランボ,"さくらんぼ 佐藤錦は、さくらんぼの一種です。
高砂、ナポレオン、佐藤錦は、さくらんぼの品種です。
",,,,,
QA20CAPR-0729,小倉百人一首の9番目の詠み人であり、美人の代名詞ともなっている平安時代の女性は誰でしょう?,小野小町,小野小町,,,,,
QA20CAPR-0731,しろくま、とんかつ、とかげといったキャラクターが登場する、部屋やお店の中のある場所に落ち着きを求めて集まった、サンエックスのキャラクターシリーズは何でしょう?,すみっコぐらし,リラックマ,,,,,
QA20CAPR-0733,インド神話の女神・サラスヴァティーと同一とされる神様で、七福神の中で唯一、女性の姿であらわされるのはどなたでしょう?,弁才天,"弁財天です。
",,,,,
QA20CAPR-0735,ある探検家の名前が付けられた、南米大陸とフェゴ島の間にある海峡を何というでしょう?,マゼラン海峡,チリ海溝,,,,,
QA20CAPR-0737,浸食によって形成された周囲約10kmの一枚岩で、オーストラリアの先住民・アボリジニの聖地となっているのはどこでしょう?,ウルル,ウルル,,,,,
QA20CAPR-0739,朝鮮戦争の別名にもその名がつけられている、蛇腹状になった胴体と鍵盤を使って音を出す楽器といえば何でしょう?,アコーディオン,"ピアノです。
",,,,,
QA20CAPR-0741,これを祝うときは赤色の頭巾やちゃんちゃんこなどを着る風習がある、干支が一周し、数え年が61歳となることを何というでしょう?,還暦,"還暦」と言います。
",,,,,
QA20CAPR-0743,童謡『サッちゃん』でサッちゃんの大好きな食べ物は何でしょう?,バナナ,"パンケーキです。
",,,,,
QA20CAPR-0747,ドイツの宗教家ルターが作った「ナインピンズ」がその起源である、球を転がして10本のピンを倒すスポーツは何でしょう?,ボウリング,ボウリング,,,,,
QA20CAPR-0749,日本の浴衣をヒントに考案されたとされている、トロピカルなモチーフが描かれた、ハワイの定番シャツといえば何でしょう?,アロハシャツ,"アロハシャツです。
",,,,,
QA20CAPR-0751,日本語では「工場制手工業」という、機械制大工業が出現する以前に行われていた最初の資本主義的生産形態のことを英語で何というでしょう?,マニュファクチュア,"インダストリアライズド・マニュファクチャリング・カンパニーズ(Industry of Manufacturing)またはインダストリアル・マニュファクチャリング・カンパニーズ(Industrial Manufacturing Companys)とは、インドの綿花栽培や綿織物の生産において、インドで最初に現れた大規模かつ組織化された産業形態です。
この用語は、インドで最初に現れた大規模かつ組織化された産業形態を指すために、19世紀後半から20世紀初頭にかけて初めて使用されました。
",,,,,
QA20CAPR-0753,英語の慣用句「キャロット&スティック」と同じ意味の言葉を、日本語の慣用句で言ったら「何と何」になるでしょう?,飴と鞭,"ニンジンとスティック。
",,,,,
QA20CAPR-0755,英語で「刺し通す」という意味がある、耳など身体の一部に穴をあけて装着する装身具のことを何というでしょう?,ピアス,イヤーカフ(イヤーフック),,,,,
QA20CAPR-0757,碁盤の盤面にある星のうち、特に中央の星を何というでしょう?,天元 (着点),"中央星(ちゅうごくせい)とは、囲碁の最も重要な星の一つです。
中央星は、囲碁の中心に位置し、囲碁の最も重要な要素です。
",,,,,
