serial_number,qid,intermediate_lang,query,translated,sample
139,QA20CAPR-0033,イタリア語,提唱したドイツの統計学者の名に由来する、家計の支出に占める飲食費の割合を何というでしょう?,ドイツの統計学者の名前に由来する、家計支出のうち食品と飲料費に割り当てられる割合の用語は何ですか？,エンゲル係数(係数)とは、所得に対する食費や飲用飲料費の比率です。係数が高いほど、生活水準が低くなります。
140,QA20CAPR-0033,韓国語,提唱したドイツの統計学者の名に由来する、家計の支出に占める飲食費の割合を何というでしょう?,ドイツの統計学者の名前に由来する、食料品と飲料品に対する家計支出の割合の用語は何ですか？,インフレーション・ギャップ(ドイツ語: Inflation-Gap)とは、物価変動が消費者物価に与える影響を測定した指標です。この指標は、消費者物価の上昇率と低下率の差を測定します。
141,QA20CAPR-0033,ポルトガル語,提唱したドイツの統計学者の名に由来する、家計の支出に占める飲食費の割合を何というでしょう?,ドイツの統計学者の名前に由来する、食品と飲料に割り当てられる家計支出の割合の用語は何ですか？,フード・フォア・インダストリーズ・パーセンテージ(FPI)とは、ドイツ連邦統計局が公表する消費者向け支出の指標で、食料品や飲料などの消費財の価格を測定しています。 FPIは、消費者向け支出の約70%を占める食料品と飲料の支出を基準にしており、消費者向け支出の重要な構成要素です。
142,QA20CAPR-0033,ロシア語,提唱したドイツの統計学者の名に由来する、家計の支出に占める飲食費の割合を何というでしょう?,ドイツの統計学者の名前に由来する、食品と飲料に割り当てられる家計支出の割合の用語は何ですか？,フード・フォア・インダストリーズ・パーセンテージ(FPI)とは、ドイツ連邦統計局が公表する消費者向け支出の指標で、食料品や飲料などの消費財の価格を測定しています。 FPIは、消費者向け支出の約70%を占める食料品と飲料の支出を基準にしており、消費者向け支出の重要な構成要素です。
143,QA20CAPR-0033,スペイン語,提唱したドイツの統計学者の名に由来する、家計の支出に占める飲食費の割合を何というでしょう?,ドイツの統計学者の名前に由来する、家計支出のうち食品と飲料費に割り当てられる割合の用語は何ですか？,エンゲル係数(係数)とは、所得に対する食費や飲用飲料費の比率です。係数が高いほど、生活水準が低くなります。
144,QA20CAPR-0035,英語,人気マンガの『ベルサイユのばら』や『エースをねらえ!』が連載された、集英社の少女向けマンガ雑誌は何でしょう?,集英社が発行している、『ベルサイユのばら』や『エースをねらえ！』などの人気漫画が連載されている少女漫画雑誌の名前は何ですか？,マーガレットコミックスです。
145,QA20CAPR-0035,中国語,人気マンガの『ベルサイユのばら』や『エースをねらえ!』が連載された、集英社の少女向けマンガ雑誌は何でしょう?,集英社が発行している少女漫画雑誌の名前は何ですか？この雑誌は「ベルサイユのばら」と「テニスの王子様」などの人気漫画作品を連載しています。,りぼんです。
146,QA20CAPR-0035,フランス語,人気マンガの『ベルサイユのばら』や『エースをねらえ!』が連載された、集英社の少女向けマンガ雑誌は何でしょう?,集英社が発行している、『ベルサイユのばら』や『エースをねらえ！』などの人気漫画を掲載している、女性向けの漫画雑誌の名前は何ですか？,マーガレットコミックスです。
147,QA20CAPR-0035,ドイツ語,人気マンガの『ベルサイユのばら』や『エースをねらえ!』が連載された、集英社の少女向けマンガ雑誌は何でしょう?,集英社が発行している、『ベルサイユのばら』や『エースをねらえ！』などの人気マンガを掲載している、女性向けのマンガ雑誌の名前は何ですか？,マーガレットコミックスです。
148,QA20CAPR-0035,イタリア語,人気マンガの『ベルサイユのばら』や『エースをねらえ!』が連載された、集英社の少女向けマンガ雑誌は何でしょう?,集英社が発行している、『ベルサイユのばら』や『エースをねらえ！』などの人気漫画が連載されている、女性向けの漫画雑誌の名前は何ですか？,マーガレットコミックスです。
149,QA20CAPR-0035,韓国語,人気マンガの『ベルサイユのばら』や『エースをねらえ!』が連載された、集英社の少女向けマンガ雑誌は何でしょう?,朝日新聞デジタル,「日本は、世界でもっとも美しい国の一つだ」と、日本の美しさを称賛する声が広がっています。 この記事によると、日本は世界で最も美しい国の一つであり、自然の美しさや文化的な伝統などが評価されています。 また、日本は清潔さや治安の良さでも知られています。 さらに、日本は世界でもっとも安全な国の1つであり、犯罪率も低いです。
150,QA20CAPR-0035,ポルトガル語,人気マンガの『ベルサイユのばら』や『エースをねらえ!』が連載された、集英社の少女向けマンガ雑誌は何でしょう?,集英社が発行している、『ベルサイユのばら』や『エースをねらえ！』などの人気マンガが連載されている、女性向けのマンガ雑誌の名前は何ですか？,マーガレットコミックスです。
151,QA20CAPR-0035,ロシア語,人気マンガの『ベルサイユのばら』や『エースをねらえ!』が連載された、集英社の少女向けマンガ雑誌は何でしょう?,集英社が発行している、『ベルサイユのばら』や『がんばれ!ルルロロ』などの人気漫画が掲載されている、女性向けの漫画雑誌の名前は何ですか？,なかよしです。
152,QA20CAPR-0035,スペイン語,人気マンガの『ベルサイユのばら』や『エースをねらえ!』が連載された、集英社の少女向けマンガ雑誌は何でしょう?,集英社が発行している、『ベルサイユのばら』や『エースをねらえ！』などの人気マンガが連載されている、女性向けのマンガ雑誌の名前は何ですか？,マーガレットコミックスです。
153,QA20CAPR-0037,英語,火口で見つかった方解石の結晶を、ある宝石と間違ったことがその名の由来である、ハワイ・オアフ島を代表する観光地となっている火山は何でしょう?,ハワイのオアフ島にある、そのクレーター内で見つかった方解石の結晶をある宝石と誤解して名付けられた、代表的な観光地となった火山は何ですか？,ダイヤモンドヘッド
154,QA20CAPR-0037,中国語,火口で見つかった方解石の結晶を、ある宝石と間違ったことがその名の由来である、ハワイ・オアフ島を代表する観光地となっている火山は何でしょう?,ハワイのワイキキ島にある火山で、そのクレーターで見つかった方解石結晶がある特定の宝石と間違われて、代表的な観光地となった火山は何ですか？,ダイヤモンドヘッド
155,QA20CAPR-0037,フランス語,火口で見つかった方解石の結晶を、ある宝石と間違ったことがその名の由来である、ハワイ・オアフ島を代表する観光地となっている火山は何でしょう?,ハワイのオアフ島にある、そのクレーター内で見つかる方解石結晶をある宝石と間違えて名付けられた、代表的な観光地となった火山は何ですか？,ダイヤモンドヘッド
156,QA20CAPR-0037,ドイツ語,火口で見つかった方解石の結晶を、ある宝石と間違ったことがその名の由来である、ハワイ・オアフ島を代表する観光地となっている火山は何でしょう?,ハワイのオアフ島にある、カルサイト結晶を特定の宝石と間違える誤りから名付けられ、代表的な観光名所となった火山はどれですか？,ダイヤモンドヘッド
157,QA20CAPR-0037,イタリア語,火口で見つかった方解石の結晶を、ある宝石と間違ったことがその名の由来である、ハワイ・オアフ島を代表する観光地となっている火山は何でしょう?,ハワイのオアフ島にある、そのクレーター内で見つかる方解石結晶をある宝石と間違える誤りから名付けられた、代表的な観光地となった火山は何ですか？,ダイヤモンドヘッド
158,QA20CAPR-0037,韓国語,火口で見つかった方解石の結晶を、ある宝石と間違ったことがその名の由来である、ハワイ・オアフ島を代表する観光地となっている火山は何でしょう?,ハワイのオアフ島にある代表的な観光名所は何ですか？この名所は、火山のクレーターで見つかった方解石の結晶を特定の宝石と間違えて名付けられました。,ダイヤモンドヘッドです。
159,QA20CAPR-0037,ポルトガル語,火口で見つかった方解石の結晶を、ある宝石と間違ったことがその名の由来である、ハワイ・オアフ島を代表する観光地となっている火山は何でしょう?,オアフ島にあるハワイの火山で、そのクレーター内で見つかる方解石結晶をある宝石と混同して名付けられ、代表的な観光地となった火山は何ですか？,マウナケア山
160,QA20CAPR-0037,ロシア語,火口で見つかった方解石の結晶を、ある宝石と間違ったことがその名の由来である、ハワイ・オアフ島を代表する観光地となっている火山は何でしょう?,ハワイのオアフ島にある、特定の貴石にちなんで誤ってそのクレーター内で見つかった方解石結晶に名前が付けられた、人気のある観光スポットとなった火山はどれですか？,ダイヤモンドヘッド
161,QA20CAPR-0037,スペイン語,火口で見つかった方解石の結晶を、ある宝石と間違ったことがその名の由来である、ハワイ・オアフ島を代表する観光地となっている火山は何でしょう?,ハワイのオアフ島にある、そのクレーター内で見つかった方解石結晶をある貴石と誤って同定したことから名付けられた、代表的な観光地となった火山は何ですか？,ダイヤモンドヘッド
162,QA20CAPR-0039,英語,「Nonprofit Organization」の略称である、非営利で活動を行う民間団体を意味するアルファベット3文字は何でしょう?,「Nonprofit Organization」と一般的に呼ばれる、非営利活動に従事する私的組織を意味する英語の3文字の略語は何ですか？,NGO(非政府組織)、営利目的団体(民間企業)、協同組合(非営利団体)。
163,QA20CAPR-0039,中国語,「Nonprofit Organization」の略称である、非営利で活動を行う民間団体を意味するアルファベット3文字は何でしょう?,英語で「non-profit organization」の三文字略語は何ですか？,非営利団体、協同組合、共同組合などがあります。
164,QA20CAPR-0039,フランス語,「Nonprofit Organization」の略称である、非営利で活動を行う民間団体を意味するアルファベット3文字は何でしょう?,「Nonprofit Organization」と指定された、非営利活動に従事する私的組織を意味する英語の3文字の略語は何ですか？,NGO(非政府組織)、NGO団体、NGOグループなどがあります。
165,QA20CAPR-0039,ドイツ語,「Nonprofit Organization」の略称である、非営利で活動を行う民間団体を意味するアルファベット3文字は何でしょう?,「Nonprofit Organization」と略される、慈善活動に従事する私設組織を指す英語の3文字の略語は何ですか？,NGO(非政府組織)、NGO団体、NGOグループなどがあります。これらの用語は、しばしば非営利団体や慈善団体として言及されます。
166,QA20CAPR-0039,イタリア語,「Nonprofit Organization」の略称である、非営利で活動を行う民間団体を意味するアルファベット3文字は何でしょう?,「Nonprofit Organization」と略される、非営利活動に従事する私的組織を意味する英語の3文字の略語は何ですか？,NGO(非政府組織)、営利目的団体(民間企業)、協同組合(非営利団体)です。
167,QA20CAPR-0039,韓国語,「Nonprofit Organization」の略称である、非営利で活動を行う民間団体を意味するアルファベット3文字は何でしょう?,私たちが「非営利組織」と一般的に呼ぶ、非営利活動に従事する私的組織の英語の3文字の略語は何ですか？,social enterprise(社会企業)またはsocial enterprise without access(営利目的ではない)。これらの略語は、社会問題を解決するためにボランティアや寄付を集める非営利団体を指すために使用されます。
168,QA20CAPR-0039,ポルトガル語,「Nonprofit Organization」の略称である、非営利で活動を行う民間団体を意味するアルファベット3文字は何でしょう?,「Nonprofit Organization」と略される、非営利活動に関与する私設団体を意味する英語の3文字の略語は何ですか？,NGO(非政府組織)、NGOs(非政府組織)、NGO(非営利団体)です。
169,QA20CAPR-0039,ロシア語,「Nonprofit Organization」の略称である、非営利で活動を行う民間団体を意味するアルファベット3文字は何でしょう?,「Nonprofit Organization」と一般的に呼ばれる、非営利活動に従事する私的組織を意味する英語の3文字の略語は何ですか？,NGO(非政府組織)、営利目的団体(民間企業)、協同組合(非営利団体)。
170,QA20CAPR-0039,スペイン語,「Nonprofit Organization」の略称である、非営利で活動を行う民間団体を意味するアルファベット3文字は何でしょう?,「非営利活動を専門とする私設団体」を意味し、一般的に「非営利団体」として知られている英語の3文字の略語は何ですか？,"NGO, CAPITAL, NGOs."
171,QA20CAPR-0041,英語,本名を國土郁音という、童謡『森のくまさん』の替え歌ネタで話題となったお笑い芸人は誰でしょう?,「国音育音」という名前で、子供の歌「森のくまさん」のパロディーソングで人気を得たお笑い芸人は誰ですか？,ザ・ドリフターズです。彼らは1970年代から活躍しています。彼らの曲は、童謡や民謡を風刺したものが多いです。また、ドリフターズは、日本の音楽や文化のパロディーも得意としています。彼らは、日本の大衆文化や伝統を広く紹介しており、日本を代表するバンドのひとつとされています。
172,QA20CAPR-0041,中国語,本名を國土郁音という、童謡『森のくまさん』の替え歌ネタで話題となったお笑い芸人は誰でしょう?,「森のくまさん」という子供の歌を模倣して全国の音韻教育を推進する名目で人気を得たコメディアンは誰ですか？,森のくまさんの替え歌を歌ったり、歌ったりした人には、森のくまさんの替え歌を歌ったり、歌ったりした人には、森のくまさんの替え歌を歌ったり、歌ったりした人には、森のくまさんの替え歌を歌ったり、歌ったりした人には、森のくまさんの替え歌を歌ったり、歌ったりした人には、森のくまさんの替え歌を歌ったり、歌ったりした人には、森のくまさんの替え歌を歌ったり、歌ったりした人には、森のくまさんの替え歌を歌ったり、歌ったりした人には、
173,QA20CAPR-0041,フランス語,本名を國土郁音という、童謡『森のくまさん』の替え歌ネタで話題となったお笑い芸人は誰でしょう?,「国音育音」という名前で、子供の歌「森のくまさん」のパロディーソングで人気を得たお笑い芸人は誰ですか？,ザ・ドリフターズです。彼らは1970年代から活躍しています。彼らの曲は、童謡や民謡を風刺したものが多いです。また、ドリフターズは、日本の音楽や文化のパロディーも得意としています。彼らは、日本の大衆文化や伝統を広く紹介しており、日本を代表するバンドのひとつとされています。
174,QA20CAPR-0041,ドイツ語,本名を國土郁音という、童謡『森のくまさん』の替え歌ネタで話題となったお笑い芸人は誰でしょう?,「森のくまさん」の童謡のパロディ曲で人気を博したお笑い芸人、国音育音という名前の方は誰ですか？,森のくまさん(童謡) 国音育音 関連情報 森のくまさん(童謡) 国音育音 関連情報 森のくまさん(童謡) 国音育音 関連情報 森のくまさん(童謡) 国音育音 関連情報 森のくまさん(童謡) 国音育音 関連情報 森のくまさん(童謡) 国音育音 関連情報 森のくまさん(童謡) 国音育音 関連情報 森のくまさん(童謡) 国音育音 関連情報 森のくまさん(童謡)
175,QA20CAPR-0041,イタリア語,本名を國土郁音という、童謡『森のくまさん』の替え歌ネタで話題となったお笑い芸人は誰でしょう?,「国音育音」という名前で、子供の歌「森のくまさん」のパロディで人気を得たお笑い芸人は誰ですか？,ザ・ドリフターズです。彼らは1970年代から活躍しています。彼らの曲は、童謡や民謡を風刺したものが多いです。また、ドリフターズは、日本の音楽や文化のパロディもたくさん作っています。例えば、彼らの曲には、「大江戸捜査網」「ドリフの大爆笑」「ドリフのズンドコ節」などがあります。
176,QA20CAPR-0041,韓国語,本名を國土郁音という、童謡『森のくまさん』の替え歌ネタで話題となったお笑い芸人は誰でしょう?,「クニオとイクネ」という名前で、子供の歌「森のくまさん」のパロディソングで人気を得たコメディアンは誰ですか？,ジョン・ベルーシ
177,QA20CAPR-0041,ポルトガル語,本名を國土郁音という、童謡『森のくまさん』の替え歌ネタで話題となったお笑い芸人は誰でしょう?,「国音育音」という名前で「森のくまさん」のパロディで人気を得たコメディアンは誰ですか？,ジョン・ベルーシ。彼は、アメリカのカントリーミュージックやフォーク音楽を風刺したコメディで人気を博しました。彼の最も有名なギャグには、「アメリカに行って、刑務所に入る」というものがあります。
178,QA20CAPR-0041,ロシア語,本名を國土郁音という、童謡『森のくまさん』の替え歌ネタで話題となったお笑い芸人は誰でしょう?,「国分育音」という名前で、子供の歌「森のくまさん」のパロディソングによって人気になったお笑い芸人は誰ですか？,Mr.オクレ。
179,QA20CAPR-0041,スペイン語,本名を國土郁音という、童謡『森のくまさん』の替え歌ネタで話題となったお笑い芸人は誰でしょう?,「国音育音」という名前で、子供の歌「森のくまさん」のパロディソングで人気を得たコメディアンは誰ですか？,ジョン・ベルーシ。
180,QA20CAPR-0043,英語,神奈川県の城ケ島では「アマガニ」の名前で食べられている、体の成長に合わせ貝殻を次々と引っ越すことが特徴の甲殻類は何でしょう?,神奈川県の女ヶ島に生息する甲殻類で、成長するにつれて新しい殻に移ることで知られる生物の名前は何ですか？,マンジュウガニ
181,QA20CAPR-0043,中国語,神奈川県の城ケ島では「アマガニ」の名前で食べられている、体の成長に合わせ貝殻を次々と引っ越すことが特徴の甲殻類は何でしょう?,神奈川県の女ヶ島で食べられる甲殻類で、体が成長するにつれて新しい殻に脱皮することで知られている甲殻類の名前は何ですか？,オウムガイ
182,QA20CAPR-0043,フランス語,神奈川県の城ケ島では「アマガニ」の名前で食べられている、体の成長に合わせ貝殻を次々と引っ越すことが特徴の甲殻類は何でしょう?,神奈川県の女ヶ島に生息する甲殻類で、成長するにつれて新しい殻に移ることで知られる生物の名前は何ですか？,マンジュウガニ
183,QA20CAPR-0043,ドイツ語,神奈川県の城ケ島では「アマガニ」の名前で食べられている、体の成長に合わせ貝殻を次々と引っ越すことが特徴の甲殻類は何でしょう?,神奈川県の女ヶ島に生息する甲殻類で、成長するにつれて新しい殻に移ることで知られる生物の名前は何ですか？,マンジュウガニ
184,QA20CAPR-0043,イタリア語,神奈川県の城ケ島では「アマガニ」の名前で食べられている、体の成長に合わせ貝殻を次々と引っ越すことが特徴の甲殻類は何でしょう?,神奈川県の城ヶ島で見つかる甲殻類の名前は何ですか？それは食べられ、体が成長するにつれて新しい殻に移動することで知られています。,アシナガエビ科の一種、アシナガエビです。
185,QA20CAPR-0043,韓国語,神奈川県の城ケ島では「アマガニ」の名前で食べられている、体の成長に合わせ貝殻を次々と引っ越すことが特徴の甲殻類は何でしょう?,江原道、曹家島に生息する甲殻類で、体が大きくなるにつれて新しい殻に移ることで知られている生物の名前は何ですか？,オウムガイ科の一種、オウムガイモドキです。
186,QA20CAPR-0043,ポルトガル語,神奈川県の城ケ島では「アマガニ」の名前で食べられている、体の成長に合わせ貝殻を次々と引っ越すことが特徴の甲殻類は何でしょう?,神奈川県の女ヶ島に生息する甲殻類で、成長するにつれて新しい殻に移ることで知られる生物の名前は何ですか？,マンジュウガニ
187,QA20CAPR-0043,ロシア語,神奈川県の城ケ島では「アマガニ」の名前で食べられている、体の成長に合わせ貝殻を次々と引っ越すことが特徴の甲殻類は何でしょう?,神奈川県のヅェガシマ島に生息する甲殻類で、体が成長するにつれて新しい殻に移ることで知られ、食べられるものの名前は何ですか？,アシナガモエビ科の一種、アシナガモエビ属の一種。
188,QA20CAPR-0043,スペイン語,神奈川県の城ケ島では「アマガニ」の名前で食べられている、体の成長に合わせ貝殻を次々と引っ越すことが特徴の甲殻類は何でしょう?,神奈川県の女ヶ島に生息する甲殻類で、体が成長するにつれて新しい殻に移ることで知られる生物の名前は何ですか？,マンジュウガニ科の一種、マンジュウガニ属に属するカニの一種です。マンジュウガニは、神奈川県の相模湾や三浦半島などの海産無脊椎動物の重要な分類群であるマンジュウガニ科の代表的な存在です。
189,QA20CAPR-0045,英語,高菜めし、太平燕、辛子蓮根といえば、どこの都道府県の名物料理でしょう?,高菜ごはん、太平燕、辛子蓮根を含む県の特産料理は何ですか？,高菜飯、太平燕、辛子蓮根は、いずれも中国南部の料理で、高菜と米を混ぜて作られる料理です。これらの料理は、中国の南部や中部地方で非常に人気があり、日本や韓国でも広く消費されています。
190,QA20CAPR-0045,中国語,高菜めし、太平燕、辛子蓮根といえば、どこの都道府県の名物料理でしょう?,高菜飯、太平燕、辣蓮藕に関して、どの地域の特産料理ですか？,台湾。 高菜飯は、台湾の中部および南部の料理で、米と醤油を混ぜた生地に、炒めた青菜が加えられます。太平燕は、中国の福建省や広東省の料理で、小麦粉と卵を混ぜ合わせた生地に、炒めた青菜が加えられます。
191,QA20CAPR-0045,フランス語,高菜めし、太平燕、辛子蓮根といえば、どこの都道府県の名物料理でしょう?,高菜ご飯、太平燕、辛子蓮根について、どの都道府県の名物料理ですか？,中国 東北部 中国・東北料理 高菜ご飯は、秋田県秋田市が発祥とされる料理で、秋田県や東北地域全般で非常に人気があります。高菜ご飯は、醤油と砂糖を混ぜた漬け汁に漬け込んだ高菜の葉を米の上に乗せて作られる料理です。太平燕は、中国の福建省地方で人気のある料理で、小麦粉と卵を混ぜ合わせて作られた生地を、小さなボール状に成形して揚げます。辛子蓮根は、熊本県八代市が発祥とされる料理で、熊本特産の料理です。
192,QA20CAPR-0045,ドイツ語,高菜めし、太平燕、辛子蓮根といえば、どこの都道府県の名物料理でしょう?,高菜ごはん、太平洋漁、辛子蓮根に関して、どの県の特産料理ですか？,秋田県。 高菜は秋田県の県花であり、辛子蓮根も秋田県の県花です。 秋田県は米の生産と漁業の両方で有名です。
193,QA20CAPR-0045,イタリア語,高菜めし、太平燕、辛子蓮根といえば、どこの都道府県の名物料理でしょう?,高菜ごはん、太平燕、辛子蓮根と関連する都道府県の代表的な料理は何ですか？,高菜炒め、辛子蓮根、太平燕です。
194,QA20CAPR-0045,韓国語,高菜めし、太平燕、辛子蓮根といえば、どこの都道府県の名物料理でしょう?,ダカナ米、太平庵、辛子蓮根を挙げるとき、どの都道府県の名物料理ですか？,秋田県。 秋田県は米どころで、米に合う様々な料理があります。その中でも、辛子蓮根は秋田県を代表する料理です。
195,QA20CAPR-0045,ポルトガル語,高菜めし、太平燕、辛子蓮根といえば、どこの都道府県の名物料理でしょう?,高菜ごはん、太平洋漁、辛子蓮根について言及する際、どの自治体の特別な料理ですか？,秋田県秋田市。 高菜は秋田県秋田市が発祥で、太平洋漁と辛子蓮根も秋田市が発祥です。これらの料理は、秋田県秋田市の郷土料理として非常に有名です。
196,QA20CAPR-0045,ロシア語,高菜めし、太平燕、辛子蓮根といえば、どこの都道府県の名物料理でしょう?,米と高菜、大平庵、辛子蓮根を使った料理で、どの県がその特産品ですか？,秋田県。米と高菜、大平庵、辛子蓮根は秋田県の特産品です。
197,QA20CAPR-0045,スペイン語,高菜めし、太平燕、辛子蓮根といえば、どこの都道府県の名物料理でしょう?,高菜ごはん、太平燕、辛子蓮根に関して、どの都道府県の特別な料理ですか？,熊本県 高菜ごはんは、熊本県を代表する料理です。太平燕は、中国南部の料理で、小麦粉と卵を混ぜ合わせて作られる麺料理です。辛子蓮根は、熊本県の伝統料理で、生姜やごま油を使って作られます。
198,QA20CAPR-0047,英語,1994年のF1サンマリノGPでクラッシュし亡くなった、「音速の貴公子」の異名で知られたレーサーは誰でしょう?,1994年のサンマリノGPでクラッシュし、亡くなった「スピードの王子」として知られるレーサーは誰ですか？,シューミ・ライコネン 1994年のサンマリノGPでクラッシュし、亡くなった「スピードの王子」として知られるレーサーは、シューミ・ライコネンです。彼はF1やフォーミュラワンの世界で非常に有名になりました。ライコネンは、イタリアの名門フェラーリチームの中心的存在として、数々の重要なレースで成功を収めてきました。
199,QA20CAPR-0047,中国語,1994年のF1サンマリノGPでクラッシュし亡くなった、「音速の貴公子」の異名で知られたレーサーは誰でしょう?,1994年のサンマリノグランプリ中に事故を起こし、亡くなった「スピードの王子」として知られるレーシングドライバーは誰でしたか？,シューミ・ライコネン 1994年のサンマリノグランプリ中に事故を起こし、亡くなった「スピードの王子」として知られるレーシングドライバーはシューミ・ライコネンです。彼はF1やフォーミュラ3など、様々なカテゴリーでレースに参加していました。
200,QA20CAPR-0047,フランス語,1994年のF1サンマリノGPでクラッシュし亡くなった、「音速の貴公子」の異名で知られたレーサーは誰でしょう?,1994年のサンマリノグランプリでクラッシュし、死亡した「スピードの王子」として知られるパイロットは誰ですか？,マルコ・シモンチェリ 1994年のサンマリノグランプリでクラッシュし、死亡した「スピードの王子」として知られるパイロットはマルコ・シモンチェリです。シモンチェリは、イタリアのF1ドライバーでした。シモンチェリは、フェラーリやベネトンなどのチームでレースに参加していました。シモンチェリは、事故で亡くなりました。
201,QA20CAPR-0047,ドイツ語,1994年のF1サンマリノGPでクラッシュし亡くなった、「音速の貴公子」の異名で知られたレーサーは誰でしょう?,1994年のサンマリノGP中に事故を起こし、亡くなった「スピードの王子」として知られるレーシングドライバーは誰ですか？,シューミ・ライコネン 1994年のサンマリノGPで事故に巻き込まれ、亡くなりました。彼はF1やフォーミュラ3などの様々なカテゴリーでレースに参加していました。
202,QA20CAPR-0047,イタリア語,1994年のF1サンマリノGPでクラッシュし亡くなった、「音速の貴公子」の異名で知られたレーサーは誰でしょう?,1994年のサンマリノグランプリで致命的な事故を起こした、「スピードの王子」として知られるパイロットは誰ですか？,マルコ・シモンチェリ 1994年のサンマリノグランプリで、シモンチェリは致命的な事故を起こしました。彼はレース中にクラッシュに巻き込まれ、頭部に重傷を負いました。シモンチェリはその後、意識不明の状態に陥り、脳挫傷と診断されました。シモンチェリは最終的に死亡しました。
203,QA20CAPR-0047,韓国語,1994年のF1サンマリノGPでクラッシュし亡くなった、「音速の貴公子」の異名で知られたレーサーは誰でしょう?,1994年のサンマリノグランプリで事故死した「スピードの王子」として知られるレーサーは誰ですか？,マルコ・シモンチェリ
204,QA20CAPR-0047,ポルトガル語,1994年のF1サンマリノGPでクラッシュし亡くなった、「音速の貴公子」の異名で知られたレーサーは誰でしょう?,1994年のサンマリノグランプリで事故に遭い、亡くなった「スピードの王子」として知られるパイロットは誰ですか？,マルコ・シモンチェリ
205,QA20CAPR-0047,ロシア語,1994年のF1サンマリノGPでクラッシュし亡くなった、「音速の貴公子」の異名で知られたレーサーは誰でしょう?,"1994年のサンマリノグランプリでの事故により亡くなった、""スピードの王子""として知られるレーサーは誰ですか？",マルコ・シモンチェリ
206,QA20CAPR-0047,スペイン語,1994年のF1サンマリノGPでクラッシュし亡くなった、「音速の貴公子」の異名で知られたレーサーは誰でしょう?,1994年のサンマリノグランプリでクラッシュし、亡くなった「スピードの王子」として知られるランナーは誰ですか？,マルコ・シモンチェリ 1994年のサンマリノグランプリでクラッシュし、亡くなった「スピードの王子」として知られるランナーはマルコ・シモンチェリです。シモンチェリはイタリアのF1ドライバーでした。シモンチェリは1995年に事故で亡くなりました。
207,QA20CAPR-0049,英語,ワルシャワにある空港にその名を残す、『革命のエチュード』や『子犬のワルツ』などのピアノ曲で知られるポーランドの作曲家は誰でしょう?,ワルシャワの空港と関連付けられている、「革命的練習曲」と「子犬のワルツ」などのピアノ作品で知られるポーランドの作曲家は誰ですか？,フレデリック・ショパン
208,QA20CAPR-0049,中国語,ワルシャワにある空港にその名を残す、『革命のエチュード』や『子犬のワルツ』などのピアノ曲で知られるポーランドの作曲家は誰でしょう?,ワルシャワ空港と関連付けられている、ピアノ作品「革命的練習曲」と「ミヌエットワルツ」で知られるポーランドの作曲家は誰ですか？,フレデリック・ショパン
209,QA20CAPR-0049,フランス語,ワルシャワにある空港にその名を残す、『革命のエチュード』や『子犬のワルツ』などのピアノ曲で知られるポーランドの作曲家は誰でしょう?,"ワルシャワ空港と関連付けられている、""革命的練習曲""や""子犬のワルツ""などのピアノ作品で知られるポーランドの作曲家は誰ですか？",フレデリック・ショパン
210,QA20CAPR-0049,ドイツ語,ワルシャワにある空港にその名を残す、『革命のエチュード』や『子犬のワルツ』などのピアノ曲で知られるポーランドの作曲家は誰でしょう?,"ワルシャワの空港と関連付けられている、""革命のエチュード""や""犬のワルツ""などのピアノ作品で知られるポーランドの作曲家は誰ですか？",フレデリック・ショパン
211,QA20CAPR-0049,イタリア語,ワルシャワにある空港にその名を残す、『革命のエチュード』や『子犬のワルツ』などのピアノ曲で知られるポーランドの作曲家は誰でしょう?,ワルシャワ空港と関連付けられている、「革命的練習曲」と「子犬のワルツ」などのピアノ作品で知られるポーランドの作曲家は誰ですか？,フレデリック・ショパン
212,QA20CAPR-0049,韓国語,ワルシャワにある空港にその名を残す、『革命のエチュード』や『子犬のワルツ』などのピアノ曲で知られるポーランドの作曲家は誰でしょう?,「革命的練習曲」と「犬のワルツ」などのピアノ作品で有名なポーランドの作曲家は誰ですか？また、ワルシャワに彼の名前を冠した空港はありますか？,フレデリック・ショパン
213,QA20CAPR-0049,ポルトガル語,ワルシャワにある空港にその名を残す、『革命のエチュード』や『子犬のワルツ』などのピアノ曲で知られるポーランドの作曲家は誰でしょう?,"ワルシャワ空港と関連付けられている、""革命的練習曲""や""リトル・ドッグ・ワルツ""などのピアノ作品で知られるポーランドの作曲家は誰ですか？",フレデリック・ショパン
214,QA20CAPR-0049,ロシア語,ワルシャワにある空港にその名を残す、『革命のエチュード』や『子犬のワルツ』などのピアノ曲で知られるポーランドの作曲家は誰でしょう?,ワルシャワの空港と関連付けられている、「革命的練習曲」と「子犬の歌」などのピアノ作品で知られるポーランドの作曲家は誰ですか？,フレデリック・ショパン
215,QA20CAPR-0049,スペイン語,ワルシャワにある空港にその名を残す、『革命のエチュード』や『子犬のワルツ』などのピアノ曲で知られるポーランドの作曲家は誰でしょう?,ワルシャワ空港と関連付けられている、「革命的練習曲」と「子犬のワルツ」などのピアノ作品で知られるポーランドの作曲家は誰ですか？,フレデリック・ショパン
216,QA20CAPR-0051,英語,フラーレン、黒鉛、ダイヤモンドといえばいずれもどんな元素から出来ている物質でしょう?,フラーレン、グラファイト、ダイヤモンドについて話す際、どの元素からどの物質が作られますか？,炭素、窒素、水素、酸素です。
